Model,Train R2,Test R2,MAE,MSE,RMSE,Training Time (Seconds),R2 Difference
Random Forest,0.967894306430979,0.7901257223538874,11006.722090730022,359655857.87227464,18964.59485125571,0.7180531024932861,0.1777685840770915
Gradient Boosting,0.8925786146250652,0.7689182132005199,12073.008032133614,395998591.16687006,19899.71334383664,0.2422792911529541,0.12366040142454526
Ridge Regression,0.784782579437464,0.7451339527460558,13543.979809029162,436757033.2854026,20898.732815302526,0.004492282867431641,0.03964862669140823
Lasso Regression,0.7860126305644674,0.7309068774769111,13755.396326033728,461137586.33995855,21474.114331910376,0.287722110748291,0.055105753087556275
Linear Regression,0.7860126305705459,0.730906247129578,13755.412058365884,461138666.5490884,21474.139483320127,0.007460355758666992,0.055106383440967965
Extra Trees,0.9934715168587319,0.7278929547066886,11741.35230867452,466302464.0545728,21594.037696886906,0.43663883209228516,0.26557856215204334
Decision Tree,0.9096054126519195,0.7101202292000078,13088.935624601461,496759101.76418257,22288.093273409067,0.0069026947021484375,0.19948518345191169
Support Vector Regressor,0.14478241612903198,0.06329851514690266,25329.34720797369,1605199931.5186892,40064.94641851763,0.10766863822937012,0.08148390098212932
