mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_bootstrap,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.4062549114227295,0.04108313715507538,0.12798867225646973,0.005290606762543853,100,2,1,sqrt,10,True,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 10, 'bootstrap': True}",0.8480384944696808,0.8450420456790222,0.7993196082364636,0.728176270815013,0.794949191358006,0.8031051221116371,0.04352676323401975,6
1.6218327522277831,0.23745766799245457,0.2838559627532959,0.06652204010751263,500,10,2,log2,20,True,"{'n_estimators': 500, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 20, 'bootstrap': True}",0.8046332614200438,0.8099528308526357,0.7808067572377264,0.6902178327002899,0.7679413154611181,0.7707103995343628,0.043079894510783125,19
0.7051714897155762,0.13762419271626053,0.24616165161132814,0.08731989191891995,300,10,4,log2,30,False,"{'n_estimators': 300, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 30, 'bootstrap': False}",0.7942331073246804,0.7963884062822735,0.7748244476689023,0.6774957827029131,0.7598876737545628,0.7605658835466664,0.04363746868369732,24
1.0036137580871582,0.05165436915480099,0.2826803207397461,0.07729451295770956,300,10,2,sqrt,25,True,"{'n_estimators': 300, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 25, 'bootstrap': True}",0.8144692163512635,0.8261022255815049,0.7878918053329949,0.7074269818890851,0.7814356330109266,0.7834651724331549,0.04143594953844743,15
0.49007840156555177,0.09093661062607591,0.1936424732208252,0.05498792809314465,100,2,2,,30,False,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': None, 'max_depth': 30, 'bootstrap': False}",0.7779450399750082,0.7446190973865492,0.636080419046618,0.7458923607056858,0.6534112216244699,0.7115896277476661,0.056137387938110545,29
0.33230342864990237,0.03229911499494109,0.09634237289428711,0.03548259062449664,100,10,4,log2,15,False,"{'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 15, 'bootstrap': False}",0.7950971560840228,0.7947605519512178,0.7746530826246969,0.6779377858960556,0.7624896613534411,0.7609876475818869,0.043336698827003785,21
2.4114115715026854,0.8875157053697099,1.0463575839996337,0.3815079586810881,500,10,1,,30,False,"{'n_estimators': 500, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': None, 'max_depth': 30, 'bootstrap': False}",0.7856681472650034,0.7448735183119415,0.6820760241871576,0.7259593557660179,0.6719302141657302,0.7221014519391702,0.041697393563437636,28
0.9590289115905761,0.4629190145497743,0.9892404079437256,0.19606924243781693,200,2,1,sqrt,,False,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': None, 'bootstrap': False}",0.8603218430496107,0.8455253750968106,0.7990300044659905,0.7575432861459953,0.8076116207944065,0.8140064259105626,0.03630932361364344,4
1.8912589073181152,0.2592287561233219,0.5403659820556641,0.1637373768031719,200,5,2,,,False,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': None, 'max_depth': None, 'bootstrap': False}",0.7837134743123026,0.7469039038824615,0.6374172171776525,0.7471143357531724,0.6417624790941142,0.7113822820439407,0.060146678110645356,30
1.5553253173828125,0.10219236338303558,0.21574091911315918,0.02778983465783008,200,2,1,sqrt,15,True,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 15, 'bootstrap': True}",0.8583179422420979,0.8538604619630253,0.814254014293205,0.7396229940475207,0.8126884115883215,0.815748764826834,0.042594293848495224,3
0.7258800983428955,0.21238383897560484,0.15092792510986328,0.02181310441668085,100,5,4,log2,25,True,"{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 25, 'bootstrap': True}",0.7790431856571214,0.7710778942002383,0.7522740542120074,0.6631669690229816,0.7450100822047916,0.7421144370594279,0.0413446964274737,25
2.215825653076172,0.05520009792725418,0.4472044467926025,0.032609812526307014,500,2,4,sqrt,,False,"{'n_estimators': 500, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': None, 'bootstrap': False}",0.8103549786897482,0.8145638094882333,0.7899228859501506,0.6974639438731465,0.7742221813806691,0.7773055598763896,0.042482535315698934,17
2.12931866645813,0.07601496193018846,0.47144179344177245,0.13134277258738764,300,2,1,sqrt,30,True,"{'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 30, 'bootstrap': True}",0.8600121738758623,0.8569053813788372,0.8153765845077653,0.7374256701730291,0.8106846959517513,0.8160809011774491,0.04430091502843613,2
4.00090446472168,0.6009739970895988,0.4713748455047607,0.06305677688658078,500,10,2,sqrt,,True,"{'n_estimators': 500, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': None, 'bootstrap': True}",0.8172508348788285,0.8240129730885281,0.7866400500897025,0.707463357785342,0.7820863200883239,0.783490707186145,0.04140977849843255,14
2.337580347061157,0.05192779958745361,0.43500051498413084,0.03043519878593403,300,10,1,sqrt,25,True,"{'n_estimators': 300, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 25, 'bootstrap': True}",0.8336641603789652,0.845828400602655,0.7970886854964434,0.7231348180970076,0.7884920098415517,0.7976416148833245,0.04302295636664454,10
3.143246555328369,0.5057480332231531,0.3726064205169678,0.015350537790034095,500,5,4,log2,30,True,"{'n_estimators': 500, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 30, 'bootstrap': True}",0.7752962519665095,0.7733812159442244,0.7583576894350335,0.651854380324877,0.7443802152622849,0.7406539505865859,0.045790466341801575,27
0.9770694732666015,0.06386863171171882,0.31912569999694823,0.14729941717214262,200,10,1,sqrt,20,True,"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 20, 'bootstrap': True}",0.8347069559259912,0.8441214141164853,0.7963865363145348,0.7251629571595493,0.7932615598038216,0.7987278846640764,0.04195766262158734,9
1.2140007972717286,0.15014559387939036,0.28336048126220703,0.11009234373939226,200,5,4,,10,True,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': None, 'max_depth': 10, 'bootstrap': True}",0.8346121846998948,0.8185221343928152,0.7784369333146983,0.7230598777308261,0.7700292377289508,0.7849320735734371,0.0392144249198213,13
1.560498094558716,0.18008025789373053,0.4826198577880859,0.17285987276534495,400,5,1,sqrt,,False,"{'n_estimators': 400, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': None, 'bootstrap': False}",0.8623694411796865,0.8590518547746512,0.8111163872337983,0.7490598817857563,0.8122475151652455,0.8187690160278276,0.04119262135058758,1
3.189267635345459,0.5519001794003607,0.7801476955413819,0.20914570337990476,500,2,2,sqrt,15,True,"{'n_estimators': 500, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 15, 'bootstrap': True}",0.8309456077015487,0.8333096288930357,0.7976144277278713,0.7172500619680908,0.7886132917181043,0.7935466036017302,0.04205194576352264,11
3.6726001262664796,0.6617350128566823,0.7877343654632568,0.10766403672295621,400,2,4,sqrt,15,True,"{'n_estimators': 400, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 15, 'bootstrap': True}",0.7959059572396019,0.7973859237719141,0.774530300219626,0.6786847773111423,0.757622260867923,0.7608258438820414,0.0436176195585572,23
3.917279529571533,0.40490975863264117,0.5599264621734619,0.16151573416732054,500,2,2,,10,True,"{'n_estimators': 500, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': None, 'max_depth': 10, 'bootstrap': True}",0.8417247027918522,0.8303580631024975,0.8071962133734689,0.7559988515342115,0.7792166228124056,0.8028988907228871,0.031750213548365575,7
1.3231956958770752,0.12245015509092906,0.5398263931274414,0.23494580251742728,100,2,2,,10,True,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': None, 'max_depth': 10, 'bootstrap': True}",0.8386836356594668,0.825765122358902,0.807879060642068,0.7540207749562451,0.785451877709703,0.802360094265277,0.03006736292958754,8
2.726773500442505,0.08023473604177958,0.7456224441528321,0.16437443886663008,500,5,2,sqrt,20,True,"{'n_estimators': 500, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 20, 'bootstrap': True}",0.8278297839900528,0.8329711668528341,0.7944765343892092,0.7155107168473762,0.7864013379089763,0.7914379079976896,0.04206879811440772,12
0.5254912376403809,0.09483511641747201,0.17377676963806152,0.036645446200030796,100,2,4,sqrt,25,False,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 25, 'bootstrap': False}",0.8028219474082247,0.8208972675698615,0.7912646746743592,0.6990171791212563,0.7728471843778837,0.777369650630317,0.04217844718211777,16
1.6599848747253418,0.34100600410218984,0.41043720245361326,0.18037013420231982,200,5,2,,15,True,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': None, 'max_depth': 15, 'bootstrap': True}",0.8472298274751816,0.8341591871105551,0.8091057167447191,0.7577768828776364,0.7863775951202107,0.8069298418656606,0.03227590041392128,5
